"SECURITIES","ERROR CODE","NUM FLDS","PX_LAST","TODAY_DT"
"USRB2020 Curncy",0,2,"N.A.","06/30/2016",
"USRB2030 Curncy",0,2,"N.A.","06/30/2016",
"USRB3001 Curncy",0,2,"N.A.","06/30/2016",
"USRB3002 Curncy",0,2,"N.A.","06/30/2016",
"USRB3005 Curncy",0,2,"N.A.","06/30/2016",
"USRB3010 Curncy",0,2,"N.A.","06/30/2016",
"USRB3020 Curncy",0,2,"N.A.","06/30/2016",
"USRB3030 Curncy",0,2,"N.A.","06/30/2016",
"USRA0A01 Curncy",0,2,"N.A.","06/30/2016",
"USRA0A02 Curncy",0,2,"N.A.","06/30/2016",
"USRA0A03 Curncy",0,2,"N.A.","06/30/2016",
"USRA0A04 Curncy",0,2,"N.A.","06/30/2016",
"USRA0A05 Curncy",0,2,"N.A.","06/30/2016",
"USRA0A07 Curncy",0,2,"N.A.","06/30/2016",
"USRA0A10 Curncy",0,2,"N.A.","06/30/2016",
"USRA0A20 Curncy",0,2,"N.A.","06/30/2016",
"USRA0A30 Curncy",0,2,"N.A.","06/30/2016",
"USRA0C01 Curncy",0,2,8.564000  ,"06/30/2016",
"USRA0C02 Curncy",0,2,10.472000  ,"06/30/2016",
"USRA0C03 Curncy",0,2,"N.A.","06/30/2016",
"USRA0C04 Curncy",0,2,"N.A.","06/30/2016",
"USRA0C05 Curncy",0,2,9.579000  ,"06/30/2016",
"USRA0C07 Curncy",0,2,"N.A.","06/30/2016",
"USRA0C10 Curncy",0,2,5.698000  ,"06/30/2016",
"USRA0C20 Curncy",0,2,4.117000  ,"06/30/2016",
"USRA0C30 Curncy",0,2,4.004000  ,"06/30/2016",
"USRA0F01 Curncy",0,2,"N.A.","06/30/2016",
"USRA0F02 Curncy",0,2,"N.A.","06/30/2016",
"USRA0F03 Curncy",0,2,"N.A.","06/30/2016",
"USRA0F04 Curncy",0,2,"N.A.","06/30/2016",
"USRA0F05 Curncy",0,2,"N.A.","06/30/2016",
"USRA0F07 Curncy",0,2,"N.A.","06/30/2016",
"USRA0F10 Curncy",0,2,"N.A.","06/30/2016",
"USRA0F20 Curncy",0,2,"N.A.","06/30/2016",
"USRA0F30 Curncy",0,2,"N.A.","06/30/2016",
"USRA0101 Curncy",0,2,7.987000  ,"06/30/2016",
"USRA0102 Curncy",0,2,9.252000  ,"06/30/2016",
"USRA0103 Curncy",0,2,"N.A.","06/30/2016",
"USRA0104 Curncy",0,2,"N.A.","06/30/2016",
"USRA0105 Curncy",0,2,7.238000  ,"06/30/2016",
"USRA0107 Curncy",0,2,"N.A.","06/30/2016",
"USRA0110 Curncy",0,2,4.730000  ,"06/30/2016",
"USRA0120 Curncy",0,2,3.553000  ,"06/30/2016",
"USRA0130 Curncy",0,2,3.382000  ,"06/30/2016",
"USRA0201 Curncy",0,2,"N.A.","06/30/2016",
"USRA0202 Curncy",0,2,"N.A.","06/30/2016",
"USRA0203 Curncy",0,2,"N.A.","06/30/2016",
"USRA0204 Curncy",0,2,"N.A.","06/30/2016",
"USRA0205 Curncy",0,2,"N.A.","06/30/2016",
"USRA0207 Curncy",0,2,"N.A.","06/30/2016",
"USRA0210 Curncy",0,2,"N.A.","06/30/2016",
"USRA0220 Curncy",0,2,"N.A.","06/30/2016",
"USRA0230 Curncy",0,2,"N.A.","06/30/2016",
"USRA0302 Curncy",0,2,"N.A.","06/30/2016",
"USRA0303 Curncy",0,2,"N.A.","06/30/2016",
"USRA0304 Curncy",0,2,"N.A.","06/30/2016",
"USRA0305 Curncy",0,2,"N.A.","06/30/2016",
"USRA0307 Curncy",0,2,"N.A.","06/30/2016",
"USRA0310 Curncy",0,2,"N.A.","06/30/2016",
"USRA0320 Curncy",0,2,"N.A.","06/30/2016",
"USRA0330 Curncy",0,2,"N.A.","06/30/2016",
"USRA0402 Curncy",0,2,"N.A.","06/30/2016",
"USRA0403 Curncy",0,2,"N.A.","06/30/2016",
"USRA0404 Curncy",0,2,"N.A.","06/30/2016",
"USRA0405 Curncy",0,2,"N.A.","06/30/2016",
"USRA0407 Curncy",0,2,"N.A.","06/30/2016",
"USRA0410 Curncy",0,2,"N.A.","06/30/2016",
"USRA0420 Curncy",0,2,"N.A.","06/30/2016",
"USRA0430 Curncy",0,2,"N.A.","06/30/2016",
"USRA0501 Curncy",0,2,"N.A.","06/30/2016",
"USRA0502 Curncy",0,2,4.105000  ,"06/30/2016",
"USRA0503 Curncy",0,2,"N.A.","06/30/2016",
"USRA0504 Curncy",0,2,"N.A.","06/30/2016",
"USRA0505 Curncy",0,2,3.437000  ,"06/30/2016",
"USRA0507 Curncy",0,2,"N.A.","06/30/2016",
"USRA0510 Curncy",0,2,3.004000  ,"06/30/2016",
"USRA0520 Curncy",0,2,2.533000  ,"06/30/2016",
"USRA0530 Curncy",0,2,2.594000  ,"06/30/2016",
"USRA1001 Curncy",0,2,"N.A.","06/30/2016",
"USRA1002 Curncy",0,2,2.385000  ,"06/30/2016",
"USRA1003 Curncy",0,2,"N.A.","06/30/2016",
"USRA1004 Curncy",0,2,"N.A.","06/30/2016",
"USRA1005 Curncy",0,2,2.240000  ,"06/30/2016",
"USRA1007 Curncy",0,2,"N.A.","06/30/2016",
"USRA1010 Curncy",0,2,2.307000  ,"06/30/2016",
